"from_team","to_team","weight","from_connections","to_connections"
1,3,36,6,16
1,1041,78,3,13
2,3,4,2,2
2,701,16,3,7
3,4,18,8,2
3,9,1018,80,162
3,12,16,3,7
3,14,8,2,3
3,15,54,19,11
3,18,18,3,9
3,20,96,22,24
3,24,30,10,7
3,25,12,3,5
3,26,156,26,45
3,27,360,66,75
3,30,200,53,37
3,31,54,6,24
3,34,12,5,4
3,36,394,74,47
3,40,294,20,48
3,42,16,6,5
3,46,36,13,4
3,47,40,10,9
3,50,270,8,46
3,52,12,2,5
3,53,10,4,3
3,54,88,20,26
3,55,40,13,9
3,56,182,57,24
3,58,102,14,35
3,62,306,50,49
3,63,74,11,26
3,64,48,23,3
3,71,130,10,36
3,73,20,5,5
3,75,64,11,19
3,76,26,4,11
3,77,24,8,4
3,80,160,44,39
3,84,8,3,4
3,90,12,5,4
3,91,60,13,8
3,94,40,2,19
3,99,470,72,53
3,100,54,10,20
3,103,8,4,4
3,106,206,43,17
3,107,164,29,36
3,108,340,37,88
3,110,78,3,16
3,113,152,32,26
3,116,34,5,7
3,122,8,4,3
3,123,46,15,7
3,128,72,3,34
3,131,10,2,4
3,133,48,10,17
3,134,52,2,20
3,137,42,7,17
3,139,8,3,4
3,142,152,11,26
3,143,34,3,8
3,147,252,102,11
3,148,8,4,3
3,149,30,5,9
3,150,26,13,2
3,156,448,50,61
3,162,22,11,2
3,164,140,3,47
3,166,142,22,39
3,167,62,11,16
3,172,64,17,18
3,173,42,4,8
3,174,28,2,7
3,178,136,5,32
3,180,28,7,9
3,183,4,2,2
3,185,8,3,3
3,186,70,6,15
3,189,114,9,32
3,191,46,5,22
3,192,52,5,14
3,196,56,5,13
3,197,14,2,6
3,200,12,4,4
3,203,78,4,15
3,204,50,11,13
3,207,8,4,2
3,213,46,19,5
3,216,34,11,10
3,217,114,21,16
3,219,38,3,10
3,222,14,7,2
3,223,118,4,21
3,225,32,13,6
3,227,264,98,18
3,231,6,2,3
3,233,132,18,22
3,241,14,3,5
3,243,64,11,11
3,244,112,36,19
3,249,10,4,2
3,250,8,4,2
3,251,18,3,8
3,253,106,30,28
3,256,38,3,14
3,262,126,17,47
3,263,316,55,49
3,266,276,89,34
3,268,10,5,2
3,270,156,25,57
3,274,16,6,2
3,279,6,3,2
3,281,16,8,2
3,282,28,7,8
3,284,54,11,13
3,287,46,3,10
3,288,180,26,30
3,292,6,3,2
3,296,72,7,15
3,299,60,7,6
3,318,28,2,9
3,338,50,11,12
3,342,52,14,20
3,351,12,5,2
3,365,22,10,4
3,373,20,8,2
3,377,34,12,4
3,380,140,14,52
3,390,114,11,17
3,394,52,8,21
3,399,42,9,10
3,405,100,22,7
3,423,6,3,2
3,428,90,8,14
3,434,14,3,4
3,438,14,5,2
3,442,134,30,18
3,444,22,11,3
3,445,36,8,7
3,453,8,3,2
3,455,22,7,2
3,463,8,2,2
3,472,20,2,6
3,482,34,4,10
3,488,8,2,2
3,496,26,3,7
3,497,20,4,9
3,505,52,4,10
3,507,20,2,5
3,512,28,14,2
3,535,16,2,8
3,543,10,3,5
3,544,20,2,5
3,555,24,2,12
3,560,6,2,3
3,563,28,4,8
3,565,34,5,11
3,581,10,3,4
3,584,50,10,15
3,593,18,4,5
3,598,24,7,2
3,599,16,2,5
3,618,68,9,13
3,621,36,4,15
3,634,32,11,2
3,649,10,2,2
3,691,22,11,2
3,701,188,50,24
3,712,10,3,3
3,713,14,6,3
3,718,12,2,5
3,720,14,2,4
3,722,88,7,15
3,726,10,5,2
3,731,12,2,3
3,745,8,2,2
3,747,32,8,7
3,751,18,4,8
3,753,32,4,10
3,764,20,2,6
3,768,10,2,2
3,773,20,2,10
3,792,84,25,16
3,796,164,7,39
3,818,8,2,2
3,820,38,4,12
3,827,16,7,3
3,829,12,2,4
3,831,14,3,6
3,845,26,8,7
3,872,6,2,3
3,925,60,13,15
3,945,54,6,9
3,968,20,2,6
3,970,30,4,7
3,971,28,2,13
3,981,32,9,5
3,996,18,9,2
3,1014,20,10,3
3,1023,16,4,5
3,1027,8,2,3
3,1050,16,8,2
3,1052,14,5,4
3,1060,150,5,25
3,1094,8,3,2
3,1095,30,4,12
3,1100,14,5,2
3,1133,6,2,2
3,1134,10,3,4
3,1145,10,5,3
3,1164,12,6,2
