"team","n_members","degree","page_rank","constraint","density","inv_constraint","effeciency_score","innovation_score"
1,175,33.9885714285714,1.94379202957384e-05,0.0805007556594243,0.18423645320197,0.622249952782478,0.282717188725242,0.903973753963284
2,20,12.05,1.42413786712044e-05,0.167901415288513,0.531578947368421,0.534849293153389,0.496807501361433,0.630682577725345
3,2796,35.5396995708155,2.09626651880303e-05,0.10156372721591,0.0104178983009206,0.601186981225992,0.122211100889984,1
4,50,23.5,1.59898117174488e-05,0.112717674027762,0.410612244897959,0.59003303441414,0.442628093277363,0.741415458834218
5,46,23.2608695652174,1.78122292464118e-05,0.111839819998441,0.494685990338164,0.590910888443461,0.512594955370741,0.689116295930005
6,29,20.2758620689655,1.46755888720065e-05,0.108639988480027,0.605911330049261,0.594110719961876,0.606836502621401,0.621208571702648
7,12,10.5833333333333,1.42573706367776e-05,0.184663834733898,0.727272727272727,0.518086873708005,0.64417689640032,0.497126927423775
8,17,10.8235294117647,1.59999999999821e-05,0.199141899062843,0.676470588235294,0.503608809379059,0.590411563965331,0.519961212486505
9,512,26.947265625,1.96401238444941e-05,0.112175356431908,0.041799168297456,0.590575352009994,0.139317154234419,0.973602140207982
10,75,20.1066666666667,1.72357301615015e-05,0.119165599983462,0.237837837837838,0.58358510845844,0.295019050758162,0.845972734236242
11,7,5.14285714285714,1.09180170489549e-05,0.333695743053111,0.571428571428571,0.369054965388791,0.393078368884751,0.501409288451572
12,85,12.6941176470588,1.63221460203769e-05,0.156987890505226,0.0904761904761905,0.545762817936676,0.14249997960818,0.914832104220014
13,23,14.8695652173913,1.49580770770547e-05,0.144424155660485,0.569169960474308,0.558326552781417,0.547103851793156,0.621810294733834
14,64,18.765625,1.61789101152675e-05,0.140773841224339,0.255952380952381,0.561976867217563,0.292141611174593,0.821001929370976
15,141,32.6028368794326,1.95547370763278e-05,0.0869031075631702,0.203444782168186,0.615847600878732,0.293264300688946,0.887874194860168
16,17,9.76470588235294,1.95958244282369e-05,0.214335836469837,0.455882352941176,0.488414871972065,0.396219354937253,0.649077562616625
17,64,17.953125,1.66373101152451e-05,0.143600278659045,0.252480158730159,0.559150429782857,0.286953981343709,0.82140788696372
18,28,8.28571428571429,1.09996461769287e-05,0.18642741301238,0.201058201058201,0.516323295429522,0.209329625059219,0.826810822820896
19,77,13.0649350649351,1.71339871445918e-05,0.156821176654365,0.156527682843472,0.545929531787537,0.197037859194516,0.873415169968769
20,275,21.8218181818182,1.63515135424232e-05,0.118023571737892,0.0737624419376244,0.58472713670401,0.160825739080828,0.949832826765816
21,8,5,1.19608198631373e-05,0.328085928196978,0.571428571428571,0.374664780244924,0.397698660260774,0.504935768137623
22,13,8,1.33794361358505e-05,0.237916849523048,0.58974358974359,0.464833858918854,0.487047088080232,0.550105152638601
23,10,6.3,1.54243248279762e-05,0.334711476780112,0.555555555555556,0.36803923166179,0.379168650626676,0.510748973453933
24,23,12.2173913043478,1.66776895541689e-05,0.207518864255071,0.399209486166008,0.495231844186831,0.355157614828393,0.68898897381478
25,17,11,1.74341489222933e-05,0.222393043282528,0.433823529411765,0.480357665159374,0.371415535410562,0.657879353440328
26,247,33.17004048583,1.80188936818984e-05,0.0829994872408041,0.119482571343932,0.619751221201098,0.227327362526349,0.943109006807264
27,255,34.9450980392157,1.93173308936034e-05,0.0654687439527747,0.117369152385364,0.637281964489128,0.240025202378031,0.955457852694108
28,21,10.7619047619048,1.73251002938855e-05,0.206347871730032,0.504761904761905,0.49640283671187,0.443055926745546,0.623372017091606
29,15,10.1333333333333,1.54681706578926e-05,0.196326515690486,0.542857142857143,0.506424192751416,0.482685164184908,0.605724023830339
30,302,26.5662251655629,1.84147827451125e-05,0.100315486630219,0.0678752942729533,0.602435221811683,0.170561564010006,0.964665421279759
31,61,16.983606557377,1.80564118218299e-05,0.126580854932398,0.209289617486339,0.576169853509504,0.265399225675918,0.859257481613721
32,79,27.620253164557,1.97169336536675e-05,0.0974046987432644,0.304122038299253,0.605346009698638,0.367533747682309,0.817984197308337
33,81,27.5555555555556,1.69855659760435e-05,0.0858740094248576,0.308333333333333,0.616876699017045,0.380498980298814,0.822585364355706
34,66,20.3636363636364,1.5395447903429e-05,0.134960423383999,0.274125874125874,0.567790285057903,0.311897435731528,0.813232055373661
35,16,9,1.59999999999837e-05,0.217367028146704,0.6,0.485383680295199,0.512419363278403,0.556575866226401
36,116,14.948275862069,1.55615166813884e-05,0.160530029786204,0.087856071964018,0.542220678655698,0.137424691516026,0.914252497299876
37,29,15.0689655172414,1.6094535832514e-05,0.139590736576145,0.527093596059113,0.563159971865757,0.516430244277974,0.651299039519644
38,58,37.6034482758621,2.38347006551591e-05,0.0797863011829081,0.612825166364186,0.622964407258994,0.63629494022131,0.635000548940382
39,10,6.6,1.01735485893502e-05,0.244450746159872,0.555555555555556,0.458299962282031,0.453508158430992,0.567489283275815
40,75,18.16,1.50774056586046e-05,0.130841058878583,0.173333333333333,0.571909649563319,0.232276582967756,0.879182485529776
41,54,17.6666666666667,1.85042064122807e-05,0.117993675286698,0.256464011180992,0.584757033155205,0.311324933212642,0.835000526620606
42,56,21.2857142857143,1.65905922685895e-05,0.114857130329762,0.328571428571429,0.587893578112141,0.373296502550856,0.791643591177355
43,10,6.5,9.66780452262231e-06,0.261203321178108,0.6,0.441547387263794,0.47631541834546,0.529019199767432
44,19,11.5789473684211,1.59299613418823e-05,0.189402480340186,0.47953216374269,0.513348228101716,0.436232865712312,0.649884433545859
45,8,5.5,1.39425688998146e-05,0.294541572762882,0.5,0.40820913567902,0.366496896755992,0.570924558081695
46,63,46.6825396825397,1.88897183784972e-05,0.0749060050485408,0.724014336917563,0.627844703393361,0.731890743239786,0.56817194662462
47,40,17.35,1.77287978496071e-05,0.137275988965398,0.330769230769231,0.565474719476504,0.356642267951354,0.776168899660109
48,5,2.4,1.6000000000006e-05,0.527410475508355,0.6,0.175340232933547,0.257064934874852,0.361674261279723
49,5,2.4,1.60000000000066e-05,0.527410475508355,0.6,0.175340232933547,0.257064934874852,0.361674261279723
50,139,23.3956834532374,1.93816573671523e-05,0.108569233550663,0.122510687102492,0.594181474891239,0.208761883288863,0.925131625693071
51,21,11.4761904761905,1.65400615011827e-05,0.177916946151988,0.5,0.524833762289915,0.462549934223559,0.644237918180729
52,32,25.09375,1.6081810826086e-05,0.108093288310227,0.752016129032258,0.594657420131675,0.727619928490758,0.529706856981396
53,43,19.5813953488372,2.04601236061876e-05,0.101864990711841,0.338870431893688,0.600885717730061,0.392479286586338,0.793336568696575
54,305,44.7606557377049,2.09029740137918e-05,0.0933310716723712,0.138567730802416,0.609419636769531,0.234536881600231,0.924616854674184
55,48,17.9375,1.74587557828632e-05,0.151852838960122,0.273936170212766,0.55089786948178,0.297828456382948,0.802732284010049
56,163,28.8834355828221,2.13922006894815e-05,0.0862770872176364,0.133075816102401,0.616473621224266,0.235823415577121,0.932503542496706
57,48,16.5208333333333,2.08263806705387e-05,0.161362062246686,0.312056737588652,0.541388646195216,0.321393003474518,0.772790923460805
58,103,24.8640776699029,1.95687320030392e-05,0.126843384007838,0.206739006282124,0.575907324434064,0.2630822993411,0.860695831248079
59,8,2.25,1.51128484214286e-05,0.489550199046545,0.285714285714286,0.213200509395358,0.0293985859408967,0.583042651278858
60,21,15.2857142857143,1.42460985864324e-05,0.149313751777448,0.714285714285714,0.553436956664454,0.662595311619182,0.527512918993703
61,4,2.5,9.55214344851086e-06,0.452682320922221,0.666666666666667,0.250068387519682,0.373518915978074,0.366741928237798
62,136,20.7426470588235,1.6479061170354e-05,0.133652570113829,0.119825708061002,0.569098138328073,0.185891661649619,0.911051418979165
63,46,15.5434782608696,1.33039638578579e-05,0.131365175089755,0.264734299516908,0.571385533352148,0.307123531926976,0.821395919659563
64,26,16.8461538461538,1.62388278293223e-05,0.134323603149962,0.529230769230769,0.568427105291941,0.522528494362294,0.653266616264832
65,22,14.0454545454545,1.78785746704134e-05,0.178338871210188,0.645021645021645,0.524411837231714,0.581643497247675,0.552808199285006
66,20,8.65,1.81718348473039e-05,0.231429794132996,0.342105263157895,0.471320914308907,0.288432843725234,0.709855165826227
67,8,4,9.89866308305235e-06,0.304909295617459,0.392857142857143,0.397841412824443,0.269714180520699,0.63175999631534
68,27,17.5185185185185,1.59179997395515e-05,0.13714548428168,0.618233618233618,0.565605224160222,0.593507874759673,0.59554313450988
69,9,5.55555555555556,1.13230139634472e-05,0.287185961315374,0.555555555555556,0.415564747126528,0.418311070630562,0.540624783824442
70,11,7.81818181818182,1.34446480404657e-05,0.217958837034,0.618181818181818,0.484791871407902,0.526906645003717,0.544774262039705
71,64,15.078125,1.54015955764175e-05,0.165935237687524,0.17906746031746,0.536815470754378,0.208095393797585,0.853516720315133
72,28,10.3214285714286,1.2876444076402e-05,0.160376417372988,0.251322751322751,0.542374291068915,0.272183759756912,0.811589534649621
73,112,25.2589285714286,1.84864508477878e-05,0.109541171421155,0.191763191763192,0.593209537020747,0.26499834063752,0.880986662552309
74,23,14.6086956521739,1.80017163836412e-05,0.15200433762015,0.561264822134387,0.550746370821752,0.534350009880367,0.622014571007331
75,30,11.1,1.45709610840581e-05,0.191075005688816,0.211494252873563,0.511675702753086,0.214097049390667,0.817328840392584
76,20,10.15,1.33033158126914e-05,0.194087743974264,0.389473684210526,0.508662964467638,0.358201110527988,0.703552320868074
77,12,11.6666666666667,1.43338505250538e-05,0.1662953248506,0.621212121212121,0.536455383591302,0.571952937837681,0.575346398294497
